dish_name,count
shrimp noodles,66
soft serve ice cream,65
vegetable pizza,65
hainanese chicken rice,65
grilled chicken skewers,64
assorted snack,64
melon,64
dairy drink,63
braised pork hock,63
ice cream,63
boiled shrimp,63
stir-fried green beans with meat,62
vegetable stew,62
barbecue ribs,62
fried chicken with fries,62
spicy fish dish,62
sushi and sashimi platter,61
stir-fried green peppers with meat,61
spaghetti with tomato sauce,60
beef noodles,60
seafood stew,60
pineapple,60
raw beef,60
vegetable fritter,59
stir-fried green vegetables,59
mixed rice plate,59
decorated cake,59
stir-fried noodles with meat,59
steamed fish with sauce,59
fried meat,59
dim sum,59
shrimp pasta,59
tofu stir-fry,59
chicken wrap,59
croissant,58
lemon,58
cheeseburger with fries,58
peking duck,58
meatball,57
vegetable noodle soup,57
bubble tea,57
spicy snack,57
hot dog,57
pan-fried dumplings,56
rice roll,56
baked good,56
avocado,56
spicy chicken wings,55
beef rice bowl,55
scrambled eggs,55
mixed vegetable and meat dish,55
tacos,54
stir-fried shrimp,54
chicken sandwich,54
spicy chicken stew,54
chicken biryani,53
cheesecake,53
burger,53
rice with meat,53
steamed clams,53
latte,53
korean bbq,53
margherita pizza,53
fruit tart,52
spicy chicken dish,52
mixed vegetable salad,52
grilled chicken with rice,52
fried chicken with sauce,51
braised fish,51
vegetable omelet,51
noodles with sauce,50
assorted desserts,50
vegetable rice,50
beef and vegetable rice,50
sausage,50
fried dough ball,49
glazed chicken,49
meat skewer,49
seafood hot pot,49
yogurt,49
decorative cake,49
omelet,49
chicken pizza,48
sunflower seeds,48
raspberry layer cake,48
mooncake,48
coconut water,48
pork belly,48
steamed shrimp,47
mixed stir-fry,47
cooked shrimp,47
beef pho,47
stir-fried clams,47
sweet and sour fish,47
grilled sausage,47
mixed nuts,46
apricot,46
glazed meat,46
stir-fried tofu with vegetables,46
snack bar,46
braised meat with vegetables,46
tteokbokki,46
green pepper,46
spicy crab,45
stir-fried tofu,45
assorted pastries,45
creamy pasta,45
pasta with meat sauce,45
pancake,45
vegetable sandwich,45
fruit smoothie,45
sweet snack,45
mixed berries,44
beef stir-fried noodles,44
mixed meat rice bowl,44
seafood pasta,44
porridge,44
stir-fried bok choy,44
fruit platter,43
mixed vegetables,43
spicy fried chicken,43
kiwi,43
scallion pancake,43
tiramisu,43
jackfruit,42
tomatoes,42
chicken curry,42
vegetable wrap,42
stir-fried pork with green peppers,42
spicy instant noodles,42
roasted peanuts,42
pastry,41
cherry tomatoes,41
chicken curry with rice,41
lobster,41
fruit jelly,41
sliced meat,41
meat sandwich,41
egg sandwich,41
cooked chicken,41
rice noodle roll,41
spicy noodle bowl,41
stir-fried chicken with rice,41
fruit tea,41
grilled fish with vegetables,41
snack mix,40
green beans,40
fried noodles,40
pomegranate,40
stir-fried vegetables with protein,40
shrimp and broccoli stir-fry,40
fried chicken drumstick,40
mixed seafood and vegetables,40
fried potatoes,40
pickled vegetable,40
braised ribs,40
whole grain bread,40
mixed asian plate,40
noodle bowl with meat,40
vegetable pancake,40
french fries with ketchup,39
banh mi,39
seafood feast,39
vegetable noodle stir-fry,39
sweet bun,39
spicy meat dish,39
garden salad,39
braised meat dish,39
fried rice with egg,39
spicy sauce,39
instant beef noodles,39
fried fish with sauce,39
beef and vegetable stir-fry,39
braised beef,39
assorted chinese dishes,38
fruit juice,38
mixed plate,38
mixed seafood and vegetable platter,38
chicken stir-fry with rice,38
crawfish stir-fry,38
fried chicken with vegetables,38
crab rice,38
fruit dessert,37
mixed rice with meat and vegetables,37
stir-fried meat with vegetables and rice,37
stir-fried meat with green peppers,37
savory snack,37
beef jerky,37
braised pork with rice,37
nasi lemak,37
spicy snails,37
crab,37
breakfast sandwich,36
savory pancake,36
fried dough stick,36
ice cream sundae,36
spicy cucumber salad,36
stir-fried broccoli,36
fried rice with meat,36
sweet bread,36
mixed asian platter,36
shrimp dumpling,36
baked pastry,36
candy,36
meat and potato stew,35
fried chicken strips,35
lime,35
cracker,35
grilled chicken with vegetables,35
eggplant,35
salmon sashimi,35
snack chips,35
rice with meat and vegetables,35
meat noodle soup,35
steak,35
coffee with milk,35
grilled meat with vegetables,35
sandwiches,34
stir-fried meat,34
borscht,34
milk tea,34
crispy pork belly,34
braised pork with egg,34
fried fish with vegetables,34
beef and green pepper stir-fry,34
mangoes,34
mixed chinese cuisine,34
stir-fried green beans with pork,34
shrimp omelette,34
rice cake,33
fried bread,33
spicy clams,33
mixed seafood platter,33
date,33
spicy stir-fried chicken,33
ice cream bar,33
spicy snack sticks,33
chicken fried rice,33
mixed meat and vegetables,33
steamed white rice,32
samosa,32
stir-fried rice with vegetables and meat,32
black coffee,32
roasted meat,32
noodle soup with meatballs,32
stir-fried chicken with peppers,32
seaweed salad,32
stir-fried green peppers,32
shrimp noodle stir-fry,32
raw potatoes,32
assorted baked goods,32
dried fruit,32
vietnamese noodle bowl,32
shrimp and asparagus stir-fry,31
cupcake,31
grilled lobster,31
beef stir-fry with rice,31
meat wrap,31
unagi don,31
spicy lobster,31
fruit,31
braised pork rice,30
mixed plate with rice,30
takeout meal,30
raw beef slices,30
kung pao chicken,30
seafood boil,30
pasta,30
baked roll,30
spicy noodle salad,30
sweet potato,30
chicken with rice,30
egg drop soup,30
corn and meat soup,30
mixed meat rice,30
hot pot ingredients,30
chicken with rice and vegetables,29
flan,29
papaya,29
baked sweet potatoes,29
fresh strawberries,29
sliced cucumber,29
fresh fruit,29
sesame chicken,29
stir-fried vegetables with egg,29
stir-fried beef with peppers,29
roasted chicken leg,29
mixed rice with meat,29
chicken noodles,29
stir-fried noodles with beef,29
cooked meat,28
scrambled eggs with green peppers,28
spicy soup,28
mixed vegetable stir-fry,28
mixed fruits and vegetables,28
cantaloupe,28
lettuce,28
curry with rice,28
seaweed snack,28
garlic bok choy,28
pasta with tomato sauce,28
mixed fruit salad,28
spicy stir-fry,28
orange juice,28
hamburger with fries,28
glazed ribs,28
salad,28
sweet potatoes,27
mango sticky rice,27
longan,27
shrimp noodle bowl,27
vegetable pasta,27
stir-fried lotus root,27
raw carrot,27
grilled ribs,27
noodles with egg,27
flavored milk,27
pork belly rice bowl,27
garlic crawfish,27
stir-fried crab,27
stir-fried potatoes with meat,27
noodle bowl with egg,27
fruit bowl,27
loquat,27
beef and corn stir-fry,27
noodle soup with dumplings,27
shrimp spring rolls,27
dumplings in sauce,27
ribeye steak,26
creamy dessert,26
seafood paella,26
stuffed bread,26
zucchini,26
spaghetti with meat sauce,26
vegetable and meat soup,26
tomato scrambled eggs,26
shrimp in sauce,26
skewered meat,26
tomato and scrambled eggs,26
sweet dumpling,26
beef and potato stew,26
baked bread roll,26
noodle soup with beef,26
spicy steamed fish,26
hawaiian pizza,25
boiled meat,25
stir-fried potatoes,25
fried noodles with egg,25
savory pastry,25
fruit drink,25
dried meat,25
stir-fried cauliflower,25
coffee,25
stir-fried greens with meat,25
vegetable dumplings,25
crab stir-fry,25
hainanese chicken,25
loaded fries with roasted chicken,25
stuffed bun,25
claypot rice,25
sweet glazed fried chicken,25
mixed snack,25
sliced tomatoes,25
shrimp with dipping sauce,25
chicken feet,25
chocolate chip cookie,25
beef salad,25
vegetable spring roll,25
vegetable stir-fry with rice,25
mixed stir-fry with rice,25
fried ribs,25
garlic,25
